Name
Madden NFL 2004
FIFA Soccer 2004
LEGO Batman: The Videogame
wwe Smackdown vs. Raw 2006
Space Invaders
Rock Band
Frogger's Adventures: Temple of the Frog
LEGO Indiana Jones: The Original Adventures
Call of Duty 3
Rock Band
Call of Duty: Black Ops
Rock Band
Triple Play 99
Adventure
LEGO Batman: The Videogame
Combat
LEGO Harry Potter: Years 5-7
NASCAR Thunder 2003
Hitman 2: Silent Assassin
Rock Band
Legacy of Kain: Soul Reaver
Donkey Kong Land III
Air-Sea Battle
Suikoden III
LEGO Harry Potter: Years 5-7
Wheel of Fortune
Yakuza 4
LEGO Harry Potter: Years 5-7
Namco Museum
Rhythm Heaven
The Lord of the Rings: War in the North
Madden NFL 07
MLB SlugFest 20-03
The Lord of the Rings: War in the North
Shaun White Snowboarding
PES 2009: Pro Evolution Soccer
WarioWare: Twisted!
Madden NFL 11
Test Drive Unlimited 2
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"
LEGO Harry Potter: Years 5-7
Monster Hunter 2
Metal Gear Solid 2: Substance
Test Drive Unlimited 2
Advance Wars: Days of Ruin
The Golden Compass
Madden NFL 06
NASCAR: Dirt to Daytona
Madden NFL 2002
Def Jam: Fight for NY
NBA Street Vol. 2
Fishing Derby
Wet
Sonic the Hedgehog
Karate
Tiger Woods PGA Tour 07
Circus Atari
The Chronicles of Riddick: Escape from Butcher Bay
Maze Craze: A Game of Cops 'n Robbers
Silent Hill: Homecoming
Super Breakout
Robert Ludlum's The Bourne Conspiracy
NHL Slapshot
TERA
NFL GameDay 2003
LEGO Harry Potter: Years 5-7
Harvest Moon: Save the Homeland
Robert Ludlum's The Bourne Conspiracy
Silent Hill: Homecoming
Hangman
The Golden Compass
NBA Live 2003
Cubix Robots for Everyone: Clash 'n' Bash
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales)
Tropico 4
Tomb Raider (2013)
Bejeweled 3
Custom Robo
Final Fantasy XI
Singularity
Dragster
All-Star Baseball 2005
Star Wars Jedi Knight II: Jedi Outcast
Slot Machine
The Dukes of Hazzard II: Daisy Dukes It Out
Harvest Moon: The Tale of Two Towns
NBA Live 2003
Shrek the Third
Nicktoons: Battle for Volcano Island
Haven: Call of the King
Unreal Championship 2: The Liandri Conflict
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"
Pac-Man Fever
The Legend of Zelda: The Minish Cap(weekly JP sales)
Indy 500
Disgaea 3: Absence of Detention
Flag Capture
Gun
Rock Revolution
LEGO Harry Potter: Years 5-7
College Hoops 2K6
Jonah Lomu Rugby Challenge
Mega Man X Collection
BioShock 2
Singularity
Danganronpa: Trigger Happy Havoc
Jet X20
Tony Hawk's Downhill Jam
Tribes: Aerial Assault
Big Beach Sports 2
LEGO Harry Potter: Years 5-7
Yu Yu Hakusho: Dark Tournament
Ghostbusters II
Breakaway IV
Robotech: Battlecry
Move Fitness
Valkyria Chronicles III: Unrecorded Chronicles
DanceDanceRevolution II
WRC: FIA World Rally Championship
Famista 64
Dead Space 3
Test Drive Unlimited 2
Pet Zombies
Star Trek: Legacy
Backbreaker
Twisted Metal: Small Brawl
Otomedius Excellent
NBA Starting Five
Teen Titans
Trauma Team
Backbreaker
James Cameron's Dark Angel
Sword of the Samurai
Splatterhouse
Alone in the Dark: The New Nightmare
Vegas Party
Jurassic Park: The Game
Home Run
eJay Clubworld
All-Star Baseball 2005
Bejeweled 3
Our House Party!
WCW Backstage Assault
Bejeweled 3
Disney's Cinderella: Magical Dreams
Transworld Surf
Street Fighter IV
Nintendo Puzzle Collection
Charm Girls Club: My Fashion Mall
Record of Agarest War Zero
Rocksmith
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God
Saru! Get You! Million Monkeys
Street Hoops
WRC: FIA World Rally Championship
Godzilla: Destroy All Monsters Melee
The Daring Game for Girls
Major League Baseball 2K6
Star Trek: Conquest
GiFTPiA
Happy Feet Two
Disney's Chicken Little: Ace In Action
Atsumare! Power Pro Kun no DS Koushien
My Healthy Cooking Coach
Happy Feet Two
Luminous Arc 2 (JP sales)
Happy Feet Two
Egg Monster Hero
The Daring Game for Girls
Demon Chaos
Samurai Shodown Anthology
Action Man-Operation Extreme
Super Puzzle Fighter II
Charm Girls Club: My Fashion Show
Face Racers: Photo Finish
Zero: Tsukihami no Kamen
The Hidden
Get Fit with Mel B
Rock Revolution
Happy Feet Two
Mega Man Battle Network: Operation Shooting Star
Smashing Drive
Port Royale 3
Dream Trigger 3D
Dead Island: Riptide
Yoostar on MTV
Tornado
McFarlane's Evil Prophecy
Drake of the 99 Dragons
Build-A-Bear Workshop: Friendship Valley
Rayman Arena
Port Royale 3
National Geographic Challenge!
Alex Rider: Stormbreaker
Chou Soujuu Mecha MG
Prinny: Can I Really Be The Hero? (US sales)
Combat Elite: WWII Paratroopers
Flip's Twisted World
Mobile Ops: The One Year War
Tom Clancy's Rainbow Six: Critical Hour
Jewel Link Chronicles: Mountains of Madness
Captain America: Super Soldier
Mountain Bike Adrenaline
Drill Dozer
